task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_sec,time_in_system_sec
60,easy,12,10:31:32,10:31:37,10:32:07,COMPLETED,24957.0,0.5084,"5.06, f{(task.end_time - task.arrival_time_offset):.2f}"
12,hard,16,08:01:22,08:01:24,10:34:32,COMPLETED,32773.0,153.1375,"2.67, f{(task.end_time - task.arrival_time_offset):.2f}"
72,easy,11,10:37:26,10:37:28,10:38:17,COMPLETED,27163.0,0.8087,"2.64, f{(task.end_time - task.arrival_time_offset):.2f}"
85,easy,11,10:40:22,10:40:24,10:40:36,COMPLETED,26405.0,0.2040,"2.28, f{(task.end_time - task.arrival_time_offset):.2f}"
88,medium,13,10:40:31,10:40:36,10:41:18,COMPLETED,30952.0,0.7082,"5.44, f{(task.end_time - task.arrival_time_offset):.2f}"
63,easy,12,10:42:19,10:42:19,10:43:01,COMPLETED,25804.0,0.7105,"0.44, f{(task.end_time - task.arrival_time_offset):.2f}"
65,medium,14,10:42:40,10:42:43,10:44:20,COMPLETED,27083.0,1.6217,"3.71, f{(task.end_time - task.arrival_time_offset):.2f}"
84,easy,12,10:45:49,10:45:51,10:47:16,COMPLETED,31702.0,1.4170,"2.94, f{(task.end_time - task.arrival_time_offset):.2f}"
80,easy,11,10:48:01,10:48:05,10:48:23,COMPLETED,24891.0,0.3070,"4.50, f{(task.end_time - task.arrival_time_offset):.2f}"
69,easy,12,10:47:52,10:47:53,10:49:18,COMPLETED,28345.0,1.4203,"1.25, f{(task.end_time - task.arrival_time_offset):.2f}"
82,medium,14,10:06:07,10:06:07,10:53:51,COMPLETED,33668.0,47.7312,"0.25, f{(task.end_time - task.arrival_time_offset):.2f}"
77,medium,13,10:52:54,10:52:56,10:56:10,COMPLETED,31215.0,3.2405,"2.50, f{(task.end_time - task.arrival_time_offset):.2f}"
64,easy,12,10:55:27,10:55:28,10:56:16,COMPLETED,15450.0,0.8121,"1.34, f{(task.end_time - task.arrival_time_offset):.2f}"
81,medium,14,10:49:14,10:49:18,10:58:18,COMPLETED,23493.0,9.0032,"4.38, f{(task.end_time - task.arrival_time_offset):.2f}"
34,hard,15,09:38:20,09:38:23,10:58:24,COMPLETED,31708.0,80.0270,"3.01, f{(task.end_time - task.arrival_time_offset):.2f}"
74,medium,14,10:38:29,10:38:29,11:05:34,COMPLETED,31504.0,27.0921,"0.23, f{(task.end_time - task.arrival_time_offset):.2f}"
101,easy,11,11:05:37,11:05:40,11:05:52,COMPLETED,21403.0,0.2036,"3.80, f{(task.end_time - task.arrival_time_offset):.2f}"
99,easy,11,11:05:39,11:05:40,11:05:59,COMPLETED,24791.0,0.3042,"1.80, f{(task.end_time - task.arrival_time_offset):.2f}"
103,easy,11,11:06:01,11:06:05,11:06:41,COMPLETED,28044.0,0.6086,"4.11, f{(task.end_time - task.arrival_time_offset):.2f}"
89,medium,14,10:51:28,10:51:31,11:10:07,COMPLETED,33633.0,18.6045,"3.63, f{(task.end_time - task.arrival_time_offset):.2f}"
106,easy,12,11:08:13,11:08:18,11:10:44,COMPLETED,37035.0,2.4317,"5.45, f{(task.end_time - task.arrival_time_offset):.2f}"
119,easy,11,11:10:38,11:10:38,11:10:44,COMPLETED,29361.0,0.1026,"0.21, f{(task.end_time - task.arrival_time_offset):.2f}"
116,easy,12,11:11:52,11:11:56,11:12:09,COMPLETED,25432.0,0.2032,"4.96, f{(task.end_time - task.arrival_time_offset):.2f}"
100,easy,11,11:19:55,11:20:00,11:20:25,COMPLETED,28531.0,0.4054,"5.75, f{(task.end_time - task.arrival_time_offset):.2f}"
92,medium,14,11:11:10,11:11:14,11:22:56,COMPLETED,26901.0,11.6969,"4.57, f{(task.end_time - task.arrival_time_offset):.2f}"
75,medium,14,10:58:10,10:58:12,11:23:02,COMPLETED,40431.0,24.8352,"2.34, f{(task.end_time - task.arrival_time_offset):.2f}"
90,medium,14,11:23:10,11:23:14,11:26:03,COMPLETED,30933.0,2.8236,"4.54, f{(task.end_time - task.arrival_time_offset):.2f}"
87,medium,14,10:33:49,10:33:50,11:27:10,COMPLETED,36325.0,53.3319,"1.51, f{(task.end_time - task.arrival_time_offset):.2f}"
97,easy,11,11:27:25,11:27:28,11:27:34,COMPLETED,21995.0,0.1022,"3.53, f{(task.end_time - task.arrival_time_offset):.2f}"
93,easy,11,11:27:59,11:28:04,11:28:10,COMPLETED,26677.0,0.1021,"5.89, f{(task.end_time - task.arrival_time_offset):.2f}"
109,easy,12,11:29:39,11:29:41,11:30:12,COMPLETED,28833.0,0.5072,"2.65, f{(task.end_time - task.arrival_time_offset):.2f}"
117,easy,11,11:31:53,11:31:55,11:32:01,COMPLETED,25148.0,0.1039,"2.10, f{(task.end_time - task.arrival_time_offset):.2f}"
98,medium,14,11:29:36,11:29:41,11:34:32,COMPLETED,35385.0,4.8546,"5.65, f{(task.end_time - task.arrival_time_offset):.2f}"
95,easy,11,11:36:53,11:36:58,11:37:04,COMPLETED,21218.0,0.1026,"5.12, f{(task.end_time - task.arrival_time_offset):.2f}"
115,easy,11,11:37:17,11:37:22,11:37:28,COMPLETED,24744.0,0.1025,"5.41, f{(task.end_time - task.arrival_time_offset):.2f}"
91,easy,11,11:37:34,11:37:34,11:37:52,COMPLETED,23754.0,0.3053,"0.59, f{(task.end_time - task.arrival_time_offset):.2f}"
104,easy,12,11:37:34,11:37:34,11:37:58,COMPLETED,29791.0,0.4055,"0.59, f{(task.end_time - task.arrival_time_offset):.2f}"
110,easy,12,11:39:04,11:39:05,11:39:23,COMPLETED,30404.0,0.3043,"1.46, f{(task.end_time - task.arrival_time_offset):.2f}"
114,easy,11,11:43:47,11:43:50,11:43:56,COMPLETED,25711.0,0.1035,"3.16, f{(task.end_time - task.arrival_time_offset):.2f}"
108,medium,14,11:27:54,11:27:58,11:45:21,COMPLETED,34849.0,17.3726,"4.81, f{(task.end_time - task.arrival_time_offset):.2f}"
102,easy,11,11:45:27,11:45:27,11:45:39,COMPLETED,24243.0,0.2045,"0.22, f{(task.end_time - task.arrival_time_offset):.2f}"
105,medium,14,11:46:44,11:46:45,11:49:59,COMPLETED,26929.0,3.2300,"1.94, f{(task.end_time - task.arrival_time_offset):.2f}"
111,medium,13,11:48:52,11:48:53,11:50:48,COMPLETED,26401.0,1.9198,"1.05, f{(task.end_time - task.arrival_time_offset):.2f}"
94,easy,11,11:50:17,11:50:17,11:51:00,COMPLETED,31799.364269414713,0.7079,"0.88, f{(task.end_time - task.arrival_time_offset):.2f}"
107,medium,13,11:57:32,11:57:34,11:57:58,COMPLETED,29511.0,0.4048,"2.07, f{(task.end_time - task.arrival_time_offset):.2f}"
136,easy,12,12:01:50,12:01:54,12:02:06,COMPLETED,26823.0,0.2035,"4.42, f{(task.end_time - task.arrival_time_offset):.2f}"
140,medium,14,12:02:53,12:02:55,12:07:03,COMPLETED,28935.0,4.1470,"2.01, f{(task.end_time - task.arrival_time_offset):.2f}"
149,easy,12,12:10:38,12:10:41,12:11:18,COMPLETED,26883.0,0.6077,"3.90, f{(task.end_time - task.arrival_time_offset):.2f}"
121,easy,12,12:12:21,12:12:24,12:12:37,COMPLETED,31519.0,0.2042,"3.92, f{(task.end_time - task.arrival_time_offset):.2f}"
126,easy,12,12:12:35,12:12:37,12:13:55,COMPLETED,28958.0,1.3151,"2.07, f{(task.end_time - task.arrival_time_offset):.2f}"
145,easy,11,12:15:10,12:15:14,12:15:21,COMPLETED,27934.0,0.1053,"4.82, f{(task.end_time - task.arrival_time_offset):.2f}"
135,easy,12,12:15:21,12:15:21,12:15:39,COMPLETED,30246.0,0.3072,"0.02, f{(task.end_time - task.arrival_time_offset):.2f}"
146,medium,13,12:14:55,12:14:56,12:17:10,COMPLETED,30743.0,2.2375,"1.56, f{(task.end_time - task.arrival_time_offset):.2f}"
137,easy,11,12:17:15,12:17:16,12:17:29,COMPLETED,24520.0,0.2064,"1.87, f{(task.end_time - task.arrival_time_offset):.2f}"
112,medium,14,11:47:10,11:47:10,12:20:37,COMPLETED,35529.0,33.4538,"0.17, f{(task.end_time - task.arrival_time_offset):.2f}"
134,easy,12,12:25:02,12:25:03,12:27:59,COMPLETED,35855.0,2.9347,"1.94, f{(task.end_time - task.arrival_time_offset):.2f}"
144,easy,12,12:29:45,12:29:49,12:30:31,COMPLETED,32446.0,0.7087,"4.00, f{(task.end_time - task.arrival_time_offset):.2f}"
123,easy,12,12:31:13,12:31:14,12:31:20,COMPLETED,26419.0,0.1024,"1.01, f{(task.end_time - task.arrival_time_offset):.2f}"
38,hard,16,09:04:18,09:04:23,12:34:22,COMPLETED,32287.0,209.9760,"5.55, f{(task.end_time - task.arrival_time_offset):.2f}"
127,medium,13,12:35:30,12:35:34,12:36:17,COMPLETED,26234.0,0.7091,"4.81, f{(task.end_time - task.arrival_time_offset):.2f}"
118,medium,14,11:22:52,11:22:56,12:39:07,COMPLETED,34546.0,76.1816,"4.32, f{(task.end_time - task.arrival_time_offset):.2f}"
124,easy,12,12:40:13,12:40:13,12:41:39,COMPLETED,28769.0,1.4216,"0.87, f{(task.end_time - task.arrival_time_offset):.2f}"
132,easy,12,12:42:41,12:42:46,12:43:40,COMPLETED,27531.0,0.9141,"5.04, f{(task.end_time - task.arrival_time_offset):.2f}"
130,easy,12,12:45:26,12:45:30,12:45:42,COMPLETED,25390.0,0.2052,"4.22, f{(task.end_time - task.arrival_time_offset):.2f}"
129,easy,12,12:46:18,12:46:18,12:47:01,COMPLETED,25147.0,0.7101,"0.94, f{(task.end_time - task.arrival_time_offset):.2f}"
139,medium,13,12:45:34,12:45:36,12:47:31,COMPLETED,29432.0,1.9272,"2.34, f{(task.end_time - task.arrival_time_offset):.2f}"
128,medium,14,12:40:26,12:40:26,12:47:56,COMPLETED,33127.0,7.5039,"0.03, f{(task.end_time - task.arrival_time_offset):.2f}"
141,medium,14,12:16:38,12:16:40,12:49:15,COMPLETED,32093.0,32.5840,"2.05, f{(task.end_time - task.arrival_time_offset):.2f}"
125,medium,14,12:45:55,12:46:00,12:50:33,COMPLETED,28354.0,4.5556,"5.69, f{(task.end_time - task.arrival_time_offset):.2f}"
