task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
98,medium,13,12:24:23,12:25:05,12:27:05,COMPLETED,29416.0,2.0050
83,medium,13,12:25:35,12:27:12,12:28:29,COMPLETED,35893.0,1.2926
84,easy,11,12:25:05,12:28:35,12:28:51,COMPLETED,31927.47876003779,0.2679
91,easy,11,12:31:01,12:31:04,12:32:07,COMPLETED,22651.678962113223,1.0612
99,hard,16,12:34:07,12:34:07,12:45:02,COMPLETED,39344.0,10.9242
85,hard,16,12:42:50,12:45:09,13:00:05,COMPLETED,40814.0,14.9455
96,medium,13,12:40:00,13:00:12,13:02:48,COMPLETED,32501.0,2.6032
89,easy,12,12:35:10,13:02:54,13:04:10,COMPLETED,26255.0,1.2802
80,easy,11,12:43:14,13:04:17,13:04:57,COMPLETED,28927.978945054987,0.6721
87,easy,11,12:44:54,13:05:03,13:05:19,COMPLETED,29442.944923852803,0.2636
108,medium,13,13:05:19,13:05:25,13:06:42,COMPLETED,35038.0,1.2944
94,easy,12,12:54:07,13:06:49,13:07:47,COMPLETED,28229.182936435845,0.9738
103,easy,12,13:06:30,13:07:53,13:08:11,COMPLETED,31589.0,0.2989
116,easy,11,13:13:16,13:13:18,13:14:16,COMPLETED,26877.773714022092,0.9719
115,hard,16,13:14:32,13:14:34,13:42:08,COMPLETED,39115.67312751128,27.5681
118,hard,16,13:33:20,13:42:14,13:51:12,COMPLETED,33758.0,8.9733
109,hard,15,13:33:41,13:51:18,13:57:50,COMPLETED,31348.0,6.5407
114,medium,13,13:17:36,13:57:57,14:00:38,COMPLETED,27355.0,2.6952
105,medium,14,13:20:24,14:00:45,14:03:33,COMPLETED,33125.0,2.8100
111,medium,13,13:23:40,14:03:39,14:04:50,COMPLETED,26258.0,1.1896
100,medium,13,13:24:57,14:04:57,14:05:38,COMPLETED,28692.785697030362,0.6940
102,medium,14,13:31:12,14:05:44,14:07:51,COMPLETED,28196.0,2.1261
113,medium,13,13:56:20,14:07:58,14:10:09,COMPLETED,40009.0,2.1924
101,easy,11,13:14:43,14:10:15,14:11:14,COMPLETED,28807.46712902156,0.9709
135,medium,14,14:10:17,14:11:20,14:12:33,COMPLETED,27543.622205806074,1.2186
137,medium,13,14:12:15,14:12:39,14:14:20,COMPLETED,26993.0,1.6880
117,easy,11,13:17:54,14:14:26,14:14:54,COMPLETED,19364.434004531693,0.4647
107,easy,11,13:25:53,14:15:00,14:15:16,COMPLETED,36630.0,0.2707
119,easy,12,13:39:18,14:15:22,14:15:50,COMPLETED,25854.0,0.4739
110,easy,11,13:47:12,14:15:57,14:16:06,COMPLETED,24973.278257469858,0.1651
112,easy,12,13:51:01,14:16:13,14:16:36,COMPLETED,27021.713321187657,0.3942
106,easy,12,13:53:41,14:16:42,14:17:36,COMPLETED,38989.6102576728,0.8920
104,easy,12,13:59:56,14:17:42,14:18:28,COMPLETED,28907.0,0.7762
128,medium,14,14:18:35,14:18:35,14:21:41,COMPLETED,31683.0,3.1114
121,easy,11,14:06:30,14:21:47,14:22:33,COMPLETED,31887.270768022074,0.7616
129,easy,12,14:08:25,14:22:39,14:23:38,COMPLETED,30275.0,0.9818
139,easy,12,14:20:31,14:23:44,14:24:06,COMPLETED,28454.0,0.3795
136,easy,11,14:22:11,14:24:13,14:24:35,COMPLETED,31562.870946975796,0.3693
127,hard,15,14:30:12,14:30:17,14:38:14,COMPLETED,29931.15252927933,7.9463
120,easy,11,14:36:06,14:38:20,14:39:12,COMPLETED,21400.194644407984,0.8668
132,easy,11,14:39:39,14:39:42,14:39:58,COMPLETED,25460.052859371655,0.2705
122,medium,14,14:39:49,14:40:05,14:42:11,COMPLETED,36605.0,2.1163
131,easy,12,14:39:50,14:42:18,14:43:28,COMPLETED,24017.318486916563,1.1829
125,easy,11,14:42:06,14:43:35,14:43:56,COMPLETED,33284.42482879471,0.3618
133,easy,12,14:42:29,14:44:02,14:44:26,COMPLETED,26223.87085993768,0.3952
138,easy,11,14:42:32,14:44:32,14:44:55,COMPLETED,32754.94001399108,0.3773
123,easy,11,14:50:07,14:50:07,14:50:53,COMPLETED,26918.0,0.7656
134,easy,12,14:51:38,14:51:41,14:52:10,COMPLETED,30203.0,0.4884
124,easy,11,14:52:45,14:52:47,14:53:02,COMPLETED,39478.04894096828,0.2662
126,easy,12,14:54:59,14:55:03,14:56:07,COMPLETED,28516.0,1.0782
130,easy,11,14:59:22,14:59:26,15:00:18,COMPLETED,21444.0,0.8685
155,easy,12,15:00:22,15:00:24,15:00:54,COMPLETED,34153.0,0.4984
157,medium,13,15:00:40,15:01:00,15:02:42,COMPLETED,34424.0,1.6983
158,easy,12,15:04:22,15:04:24,15:05:42,COMPLETED,22360.0,1.2996
152,medium,14,15:05:09,15:05:48,15:07:57,COMPLETED,31148.0,2.1570
142,easy,12,15:08:46,15:08:46,15:09:32,COMPLETED,30589.489263395884,0.7847
143,easy,11,15:10:59,15:11:03,15:12:07,COMPLETED,23430.75802407129,1.0638
151,medium,13,15:11:15,15:12:13,15:13:54,COMPLETED,29344.0,1.6986
141,easy,12,15:19:30,15:19:31,15:20:32,COMPLETED,24592.0,1.0129
149,hard,15,15:26:37,15:26:39,15:29:22,COMPLETED,30453.0,2.7341
156,easy,12,15:35:58,15:35:59,15:37:10,COMPLETED,25737.0,1.1841
147,medium,14,15:36:35,15:37:16,15:39:28,COMPLETED,30965.0,2.2053
145,medium,13,15:38:22,15:39:35,15:40:52,COMPLETED,34551.0,1.3020
146,easy,11,15:38:27,15:40:59,15:41:14,COMPLETED,19788.551714048503,0.2641
150,easy,12,15:40:34,15:41:21,15:41:49,COMPLETED,31778.0,0.4820
153,easy,12,15:41:56,15:41:56,15:42:48,COMPLETED,29729.36594487272,0.8752
140,easy,12,15:42:26,15:42:54,15:43:35,COMPLETED,27886.65112287545,0.6800
144,easy,12,15:44:09,15:44:11,15:44:30,COMPLETED,29497.41803365524,0.3265
154,easy,12,15:46:50,15:46:55,15:48:17,COMPLETED,24791.0,1.3747
148,medium,14,15:47:44,15:48:23,15:50:42,COMPLETED,37475.0,2.3172
159,easy,11,15:47:51,15:50:48,15:51:34,COMPLETED,21155.866766722826,0.7618
171,hard,15,16:02:25,16:02:29,16:06:30,COMPLETED,32525.0,4.0243
173,easy,12,16:04:25,16:06:37,16:07:49,COMPLETED,29602.0,1.2154
179,medium,14,16:08:56,16:08:56,16:11:38,COMPLETED,32548.0,2.7042
166,easy,11,16:16:52,16:16:57,16:17:45,COMPLETED,21890.0,0.8135
160,easy,12,16:19:13,16:19:16,16:20:26,COMPLETED,26895.0,1.1784
