test_id,n,city_index,cost,syncs,duration_sec,machine_info
Test 7,15,12-13,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,12-14,32519.0,0,0.0000,Cluster multithread bt compile
Test 7,15,13-1,32519.0,0,0.5401,Cluster multithread bt compile
Test 7,15,13-2,32519.0,0,0.0316,Cluster multithread bt compile
Test 7,15,13-3,32519.0,0,0.1822,Cluster multithread bt compile
Test 7,15,13-4,32519.0,0,0.0933,Cluster multithread bt compile
Test 7,15,13-5,32519.0,0,0.6144,Cluster multithread bt compile
Test 7,15,13-6,32519.0,0,0.0990,Cluster multithread bt compile
Test 7,15,13-7,32519.0,0,0.0002,Cluster multithread bt compile
Test 7,15,13-8,32519.0,0,0.0663,Cluster multithread bt compile
Test 7,15,13-9,32519.0,0,0.3940,Cluster multithread bt compile
Test 7,15,13-10,32519.0,0,0.3569,Cluster multithread bt compile
Test 7,15,13-11,32519.0,0,0.0056,Cluster multithread bt compile
Test 7,15,13-12,32519.0,0,0.0264,Cluster multithread bt compile
Test 7,15,13-14,32519.0,0,0.2725,Cluster multithread bt compile
Test 7,15,14-1,32519.0,0,0.1461,Cluster multithread bt compile
Test 7,15,14-2,32519.0,0,0.0405,Cluster multithread bt compile
Test 7,15,14-3,32459.0,0,0.3170,Cluster multithread bt compile
Test 7,15,14-4,32459.0,0,0.0280,Cluster multithread bt compile
Test 7,15,14-5,32459.0,0,0.0187,Cluster multithread bt compile
Test 7,15,14-6,32459.0,0,0.3701,Cluster multithread bt compile
Test 7,15,14-7,32459.0,0,0.0002,Cluster multithread bt compile
Test 7,15,14-8,32459.0,0,0.0036,Cluster multithread bt compile
Test 7,15,14-9,32459.0,0,0.2268,Cluster multithread bt compile
Test 7,15,14-10,32459.0,0,0.2491,Cluster multithread bt compile
Test 7,15,14-11,32459.0,0,0.0017,Cluster multithread bt compile
Test 7,15,14-12,32459.0,0,0.0254,Cluster multithread bt compile
Test 7,15,14-13,32459.0,0,0.0103,Cluster multithread bt compile
Test 7,15,1-2,34426.91259495659,0,0.9946,Cluster singlethread bt compile
Test 7,15,1-3,32519.987683689786,0,0.4595,Cluster singlethread bt compile
Test 7,15,1-4,32976.83020748524,0,0.8889,Cluster singlethread bt compile
Test 7,15,1-5,32459.828342034794,0,1.0013,Cluster singlethread bt compile
Test 7,15,1-6,34544.11764167708,0,0.5901,Cluster singlethread bt compile
Test 7,15,1-7,36726.82812300712,0,1.1552,Cluster singlethread bt compile
Test 7,15,1-8,32519.0,0,0.1287,Cluster singlethread bt compile
Test 7,15,1-9,32519.0,0,0.1642,Cluster singlethread bt compile
Test 7,15,1-10,32519.0,0,0.0765,Cluster singlethread bt compile
Test 7,15,1-11,32519.0,0,0.0331,Cluster singlethread bt compile
Test 7,15,1-12,32519.0,0,0.0269,Cluster singlethread bt compile
Test 7,15,1-13,32519.0,0,0.0275,Cluster singlethread bt compile
Test 7,15,1-14,32519.0,0,0.0807,Cluster singlethread bt compile
Test 7,15,2-1,32519.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-3,32459.0,0,0.0126,Cluster singlethread bt compile
Test 7,15,2-4,32459.0,0,0.0276,Cluster singlethread bt compile
Test 7,15,2-5,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-7,32459.0,0,0.0019,Cluster singlethread bt compile
Test 7,15,2-8,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,2-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-11,32459.0,0,0.0055,Cluster singlethread bt compile
Test 7,15,2-12,32459.0,0,0.0270,Cluster singlethread bt compile
Test 7,15,2-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,2-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,3-1,32459.0,0,0.0094,Cluster singlethread bt compile
Test 7,15,3-2,32459.0,0,0.3147,Cluster singlethread bt compile
Test 7,15,3-4,32459.0,0,0.1151,Cluster singlethread bt compile
Test 7,15,3-5,32459.0,0,0.0021,Cluster singlethread bt compile
Test 7,15,3-6,32459.0,0,0.0216,Cluster singlethread bt compile
Test 7,15,3-7,32459.0,0,0.0042,Cluster singlethread bt compile
Test 7,15,3-8,32459.0,0,0.0028,Cluster singlethread bt compile
Test 7,15,3-9,32459.0,0,0.0069,Cluster singlethread bt compile
Test 7,15,3-10,32459.0,0,0.0041,Cluster singlethread bt compile
Test 7,15,3-11,32459.0,0,0.0146,Cluster singlethread bt compile
Test 7,15,3-12,32459.0,0,0.1095,Cluster singlethread bt compile
Test 7,15,3-13,32459.0,0,0.0001,Cluster singlethread bt compile
Test 7,15,3-14,32459.0,0,0.0109,Cluster singlethread bt compile
Test 7,15,4-1,32459.0,0,0.0005,Cluster singlethread bt compile
Test 7,15,4-2,32459.0,0,0.0341,Cluster singlethread bt compile
Test 7,15,4-3,32459.0,0,0.0057,Cluster singlethread bt compile
Test 7,15,4-5,32459.0,0,0.0003,Cluster singlethread bt compile
Test 7,15,4-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,4-7,32459.0,0,0.0054,Cluster singlethread bt compile
Test 7,15,4-8,32459.0,0,0.0093,Cluster singlethread bt compile
Test 7,15,4-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,4-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,4-11,32459.0,0,0.0543,Cluster singlethread bt compile
Test 7,15,4-12,32459.0,0,0.0099,Cluster singlethread bt compile
Test 7,15,4-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,4-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,5-1,32459.0,0,0.1740,Cluster singlethread bt compile
Test 7,15,5-2,32459.0,0,0.0110,Cluster singlethread bt compile
Test 7,15,5-3,32459.0,0,0.0267,Cluster singlethread bt compile
Test 7,15,5-4,32459.0,0,0.0677,Cluster singlethread bt compile
Test 7,15,5-6,32459.0,0,0.0026,Cluster singlethread bt compile
Test 7,15,5-7,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,5-8,32459.0,0,0.6178,Cluster singlethread bt compile
Test 7,15,5-9,32459.0,0,0.0158,Cluster singlethread bt compile
Test 7,15,5-10,32459.0,0,0.0078,Cluster singlethread bt compile
Test 7,15,5-11,32459.0,0,0.0104,Cluster singlethread bt compile
Test 7,15,5-12,32459.0,0,0.0012,Cluster singlethread bt compile
Test 7,15,5-13,32459.0,0,0.0106,Cluster singlethread bt compile
Test 7,15,5-14,32459.0,0,0.0063,Cluster singlethread bt compile
Test 7,15,6-1,32459.0,0,0.0095,Cluster singlethread bt compile
Test 7,15,6-2,32459.0,0,0.0154,Cluster singlethread bt compile
Test 7,15,6-3,32459.0,0,0.2095,Cluster singlethread bt compile
Test 7,15,6-4,32459.0,0,0.0038,Cluster singlethread bt compile
Test 7,15,6-5,32459.0,0,0.0017,Cluster singlethread bt compile
Test 7,15,6-7,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,6-8,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,6-9,32459.0,0,0.0267,Cluster singlethread bt compile
Test 7,15,6-10,32459.0,0,0.0407,Cluster singlethread bt compile
Test 7,15,6-11,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,6-12,32459.0,0,0.0029,Cluster singlethread bt compile
Test 7,15,6-13,32459.0,0,0.0010,Cluster singlethread bt compile
Test 7,15,6-14,32459.0,0,0.1076,Cluster singlethread bt compile
Test 7,15,7-1,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-2,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-3,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-4,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-5,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-8,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-11,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,7-12,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,7-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-1,32459.0,0,0.0012,Cluster singlethread bt compile
Test 7,15,8-2,32459.0,0,0.0001,Cluster singlethread bt compile
Test 7,15,8-3,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-4,32459.0,0,0.0086,Cluster singlethread bt compile
Test 7,15,8-5,32459.0,0,0.0152,Cluster singlethread bt compile
Test 7,15,8-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-7,32459.0,0,0.0001,Cluster singlethread bt compile
Test 7,15,8-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-11,32459.0,0,0.0059,Cluster singlethread bt compile
Test 7,15,8-12,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,8-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,9-1,32459.0,0,0.2290,Cluster singlethread bt compile
Test 7,15,9-2,32459.0,0,0.0510,Cluster singlethread bt compile
Test 7,15,9-3,32459.0,0,0.2484,Cluster singlethread bt compile
Test 7,15,9-4,32459.0,0,0.0434,Cluster singlethread bt compile
Test 7,15,9-5,32459.0,0,0.0541,Cluster singlethread bt compile
